Row,Data
TilingSet,4
L rotation 90deg clockwise,0
L rotation 90deg counterclockwise,0
L rotation 180deg turn,353
J rotation 90deg clockwise,3
J rotation 90deg counterclockwise,0
J rotation 180deg turn,410
L to J  transformation,0
J to L  transformation,0
J F_distance,218
J R_distance,242
J B_distance,492
J L_distance,62
L F_distance,118
L R_distance,336
L B_distance,280
L L_distance,116
