Row,Data
TilingSet,11
L rotation 90deg clockwise,0
L rotation 90deg counterclockwise,2
L rotation 180deg turn,6
J rotation 90deg clockwise,1
J rotation 90deg counterclockwise,3
J rotation 180deg turn,3
L to J  transformation,4
J to L  transformation,4
J F_distance,120
J R_distance,102
J B_distance,132
J L_distance,83.9999999999999
L F_distance,126
L R_distance,108
L B_distance,222
L L_distance,120
