Row,Data
TilingSet,4
L rotation 90deg clockwise,0
L rotation 90deg counterclockwise,4
L rotation 180deg turn,0
J rotation 90deg clockwise,4
J rotation 90deg counterclockwise,5
J rotation 180deg turn,2
L to J  transformation,4
J to L  transformation,4
J F_distance,210
J R_distance,228
J B_distance,108
J L_distance,234
L F_distance,30
L R_distance,90
L B_distance,48
L L_distance,24
