Row,Data
TilingSet,2
L rotation 90deg clockwise,0
L rotation 90deg counterclockwise,1
L rotation 180deg turn,1
J rotation 90deg clockwise,4
J rotation 90deg counterclockwise,5
J rotation 180deg turn,2
L to J  transformation,2
J to L  transformation,2
J F_distance,246
J R_distance,258
J B_distance,114
J L_distance,54
L F_distance,42
L R_distance,66
L B_distance,66
L L_distance,204
