Row,Data
TilingSet,5
L rotation 90deg clockwise,0
L rotation 90deg counterclockwise,2
L rotation 180deg turn,1
J rotation 90deg clockwise,2
J rotation 90deg counterclockwise,6
J rotation 180deg turn,3
L to J  transformation,3
J to L  transformation,4
J F_distance,138
J R_distance,252
J B_distance,210
J L_distance,114
L F_distance,144
L R_distance,72
L B_distance,48
L L_distance,12
